,County,Pop_Female,Pop_Male,Pop_Total,FIPS,Percent_Disability,SchoolEnroll_10to14,SchoolEnroll_15to17,SchoolEnroll_18to19,SchoolEnroll_3to4,SchoolEnroll_5to9,TotalDisability,Year
0,Adams,50746,49255,100001,1.0,13.2,99.4,96.6,80.2,43.6,96.0,13155,2012
1,Allegheny,631437,578200,1209637,3.0,13.0,98.1,97.2,81.6,57.9,95.2,157215,2012
2,Armstrong,34487,33904,68391,5.0,19.4,98.4,97.1,69.7,38.0,95.1,13282,2012
3,Beaver,87212,81341,168553,7.0,15.7,97.5,97.1,77.7,48.8,96.1,26418,2012
4,Bedford,24681,24460,49141,9.0,16.8,98.8,93.3,61.3,42.6,93.3,8256,2012
5,Berks,206974,199012,405986,11.0,12.8,98.5,97.3,76.2,46.8,94.4,52021,2012
6,Blair,64379,60756,125135,13.0,15.3,98.0,94.9,74.0,53.1,95.3,19195,2012
7,Bradford,31452,30507,61959,15.0,14.0,99.3,94.9,69.0,35.5,94.6,8702,2012
8,Bucks,315828,303762,619590,17.0,10.3,98.6,98.3,82.8,61.9,96.2,63843,2012
9,Butler,92327,89143,181470,19.0,11.7,99.3,98.4,84.7,55.1,96.4,21281,2012
10,Cambria,71548,67162,138710,21.0,16.9,98.5,98.6,82.7,43.6,96.3,23495,2012
11,Cameron,2532,2473,5005,23.0,20.7,98.2,96.3,62.5,40.9,90.0,1037,2012
12,Carbon,32613,31730,64343,25.0,16.9,99.9,98.5,66.2,43.7,96.5,10902,2012
13,Centre,73550,77222,150772,27.0,9.0,98.7,96.2,92.7,50.4,94.4,13597,2012
14,Chester,252115,242799,494914,29.0,7.2,98.4,97.0,85.9,62.3,94.3,35853,2012
15,Clarion,20414,19167,39581,31.0,15.3,90.8,89.8,86.0,46.0,89.6,6058,2012
16,Clearfield,39236,37933,77169,33.0,15.0,99.4,96.4,61.6,50.0,92.9,11591,2012
17,Clinton,19882,18758,38640,35.0,15.2,99.0,93.7,88.3,37.3,93.2,5854,2012
18,Columbia,34609,31656,66265,37.0,11.5,98.1,96.6,86.9,55.1,96.0,7600,2012
19,Crawford,43901,42702,86603,39.0,16.3,97.0,91.6,74.9,39.5,91.9,14116,2012
20,Cumberland,118130,110563,228693,41.0,11.3,98.3,95.9,85.1,49.4,94.0,25941,2012
21,Dauphin,136877,127095,263972,43.0,12.3,97.7,97.1,69.5,44.5,93.7,32363,2012
22,Delaware,287932,262499,550431,45.0,10.9,98.3,97.0,85.4,62.6,96.3,59890,2012
23,Elk,15924,15749,31673,47.0,15.6,98.8,98.6,80.7,51.0,96.3,4942,2012
24,Erie,140766,133792,274558,49.0,15.1,96.9,98.3,81.9,44.9,94.2,41586,2012
25,Fayette,69058,64674,133732,51.0,19.8,97.6,95.1,59.6,41.0,94.4,26432,2012
26,Forest,2534,2752,5286,53.0,29.1,100.0,100.0,74.6,52.9,96.9,1537,2012
27,Franklin,75639,71989,147628,55.0,11.4,98.4,93.5,63.2,24.3,89.6,16847,2012
28,Fulton,7371,7401,14772,57.0,14.8,97.7,98.1,59.9,33.6,98.1,2184,2012
29,Greene,18537,16738,35275,59.0,17.5,96.1,96.7,72.1,35.7,89.0,6184,2012
30,Huntingdon,21307,20761,42068,61.0,16.3,97.0,94.6,87.0,37.1,89.8,6873,2012
31,Indiana,44159,43015,87174,63.0,13.4,96.2,90.2,84.9,49.5,92.3,11679,2012
32,Jefferson,22512,22084,44596,65.0,15.8,98.0,93.5,68.8,34.3,91.0,7050,2012
33,Juniata,12230,12116,24346,67.0,14.5,99.3,87.9,54.8,40.9,92.9,3518,2012
34,Lackawanna,109618,101408,211026,69.0,14.6,98.7,95.9,85.0,54.0,95.3,30734,2012
35,Lancaster,262229,251160,513389,71.0,10.7,97.4,89.6,73.0,38.5,91.4,54883,2012
36,Lawrence,46507,43177,89684,73.0,14.5,97.1,95.9,69.5,52.0,96.3,12964,2012
37,Lebanon,67315,64151,131466,75.0,11.6,98.5,94.4,70.0,39.3,93.7,15193,2012
38,Lehigh,177877,167527,345404,77.0,13.0,98.9,96.9,75.5,41.4,94.9,45002,2012
39,Luzerne,161492,151833,313325,79.0,15.4,97.0,96.9,81.3,41.5,95.5,48205,2012
40,Lycoming,57473,56269,113742,81.0,14.6,97.7,96.8,80.6,39.5,95.2,16629,2012
41,McKean,20889,20334,41223,83.0,17.1,98.6,99.5,74.9,42.0,94.0,7039,2012
42,Mercer,58447,54483,112930,85.0,15.9,98.3,94.0,80.6,36.2,93.3,18006,2012
43,Mifflin,23407,22767,46174,87.0,17.3,97.8,82.7,45.1,36.4,88.4,8009,2012
44,Monroe,85104,83116,168220,89.0,13.2,99.1,96.9,79.9,41.7,96.0,22128,2012
45,Montgomery,407254,379806,787060,91.0,9.0,98.6,97.9,84.6,62.3,95.3,71059,2012
46,Montour,9260,8453,17713,93.0,13.3,95.5,93.7,73.2,55.7,91.4,2364,2012
47,Northampton,150337,143606,293943,95.0,12.4,99.1,98.0,84.7,47.1,95.6,36432,2012
48,Northumberland,46272,44109,90381,97.0,16.1,98.2,93.0,64.9,35.4,95.4,14530,2012
49,Perry,22620,22685,45305,99.0,13.8,97.6,92.3,50.6,33.8,88.3,6254,2012
50,Philadelphia,800208,709249,1509457,101.0,16.0,97.7,96.3,75.8,51.4,94.3,240794,2012
51,Pike,28646,28402,57048,103.0,15.1,98.7,100.0,80.9,42.0,96.2,8629,2012
52,Potter,8636,8616,17252,105.0,18.5,95.9,98.6,65.4,30.7,96.3,3195,2012
53,Schuylkill,71559,69541,141100,107.0,17.2,99.5,97.8,72.4,41.0,94.6,24224,2012
54,Snyder,19812,19456,39268,109.0,11.9,97.9,91.3,83.3,26.2,88.9,4683,2012
55,Somerset,37184,36658,73842,111.0,17.0,98.1,96.6,70.7,36.9,95.7,12565,2012
56,Sullivan,3080,3218,6298,113.0,20.0,94.1,93.7,36.2,12.5,89.9,1262,2012
57,Susquehanna,21258,21502,42760,115.0,17.5,99.8,95.5,71.0,37.3,94.0,7498,2012
58,Tioga,21220,20440,41660,117.0,14.7,98.3,97.8,84.1,48.0,93.4,6120,2012
59,Union,19925,19439,39364,119.0,12.2,97.8,93.9,91.4,44.9,90.2,4799,2012
60,Venango,27641,26398,54039,121.0,17.1,97.9,98.8,59.1,41.4,92.9,9231,2012
61,Warren,20506,20347,40853,123.0,16.6,97.2,98.1,58.7,54.3,96.8,6768,2012
62,Washington,105781,100147,205928,125.0,14.7,98.3,98.1,79.9,53.0,97.2,30179,2012
63,Wayne,24503,24532,49035,127.0,16.8,97.0,95.6,68.3,46.9,96.8,8247,2012
64,Westmoreland,185414,174777,360191,129.0,14.4,98.7,97.7,77.8,53.2,95.9,51844,2012
65,Wyoming,13960,13847,27807,131.0,15.8,99.5,97.1,70.3,47.4,94.2,4396,2012
66,York,218300,211543,429843,133.0,12.1,98.9,97.9,69.4,45.0,94.3,51894,2012
0,Adams,50841,49314,100155,1.0,13.1,99.6,96.5,82.8,36.6,94.8,13151,2013
1,Allegheny,632025,579830,1211855,3.0,13.0,98.4,97.5,83.5,57.1,95.8,157995,2013
2,Armstrong,34323,33746,68069,5.0,18.7,98.4,97.4,68.8,37.3,95.4,12722,2013
3,Beaver,87154,81450,168604,7.0,15.4,97.7,97.9,78.0,50.4,95.7,25882,2013
4,Bedford,24615,24317,48932,9.0,16.9,97.5,93.1,57.2,42.4,94.4,8293,2013
5,Berks,207318,199757,407075,11.0,13.0,98.5,96.8,76.2,45.8,94.6,52784,2013
6,Blair,64261,60792,125053,13.0,15.4,97.9,95.6,75.6,52.2,94.9,19202,2013
7,Bradford,31423,30551,61974,15.0,14.3,99.7,95.5,66.9,34.5,93.6,8844,2013
8,Bucks,316317,303705,620022,17.0,10.1,98.5,98.0,85.0,60.1,95.6,62640,2013
9,Butler,92476,89695,182171,19.0,11.4,99.4,98.4,84.7,52.5,96.6,20847,2013
10,Cambria,70980,66785,137765,21.0,17.6,98.6,98.3,82.7,46.9,95.8,24223,2013
11,Cameron,2493,2455,4948,23.0,18.9,98.0,95.7,58.6,42.4,92.7,934,2013
12,Carbon,32515,31811,64326,25.0,17.1,98.6,98.9,69.1,41.5,95.3,11000,2013
13,Centre,73831,77585,151416,27.0,9.1,98.6,96.6,93.9,51.8,94.0,13788,2013
14,Chester,253712,244519,498231,29.0,7.6,98.2,96.7,84.8,62.5,94.2,37981,2013
15,Clarion,20231,19083,39314,31.0,15.5,91.7,91.3,86.3,45.8,90.5,6100,2013
16,Clearfield,38779,38083,76862,33.0,15.2,98.7,97.0,63.7,52.5,90.4,11687,2013
17,Clinton,20079,18803,38882,35.0,14.6,98.8,93.6,87.4,37.2,93.9,5675,2013
18,Columbia,34487,31790,66277,37.0,11.3,98.2,96.3,89.8,55.7,95.8,7487,2013
19,Crawford,43675,42715,86390,39.0,16.3,97.7,90.4,74.6,37.2,92.0,14046,2013
20,Cumberland,119281,111690,230971,41.0,11.1,98.1,95.9,86.1,47.0,91.6,25597,2013
21,Dauphin,137557,127645,265202,43.0,12.5,98.1,96.9,68.9,42.3,93.6,33119,2013
22,Delaware,288596,263166,551762,45.0,11.2,98.4,96.8,84.8,61.5,96.3,61531,2013
23,Elk,15842,15638,31480,47.0,15.2,99.7,98.7,80.7,52.3,95.7,4774,2013
24,Erie,140859,134195,275054,49.0,15.2,96.8,98.1,81.5,42.4,94.7,41751,2013
25,Fayette,68538,64428,132966,51.0,18.8,98.0,95.8,55.4,37.8,95.5,25010,2013
26,Forest,2443,2393,4836,53.0,29.1,100.0,100.0,70.7,43.1,96.7,1406,2013
27,Franklin,76392,72464,148856,55.0,11.6,97.8,94.1,64.5,23.1,90.7,17277,2013
28,Fulton,7342,7383,14725,57.0,15.3,98.7,98.6,62.1,32.1,97.4,2254,2013
29,Greene,18250,16754,35004,59.0,19.0,97.6,97.8,70.7,31.3,94.3,6664,2013
